SSC_CODE_2016,SSC_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RATIO,PERCENTAGE
22780,Willow Grove,205,Latrobe - Gippsland,1,100
22781,Willowmavin,204,Hume,1,100
22782,Willowvale (Vic.),201,Ballarat,1,100
22783,Willung,205,Latrobe - Gippsland,1,100
22784,Willung South,205,Latrobe - Gippsland,1,100
22785,Wilsons Hill,202,Bendigo,1,100
22786,Wilsons Promontory,205,Latrobe - Gippsland,1,100
22787,Wimbledon Heights,205,Latrobe - Gippsland,1,100
22788,Winchelsea,203,Geelong,1,99.9999995
22789,Winchelsea South,203,Geelong,1,100
22790,Windermere (Vic.),201,Ballarat,1,100
22791,Windsor (Vic.),206,Melbourne - Inner,1,100
22792,Wingan River,205,Latrobe - Gippsland,1,100
22793,Wingeel,203,Geelong,0.6666667,66.6666667
22793,Wingeel,217,Warrnambool and South West,0.3333333,33.3333333
22794,Winjallok,215,North West,1,100
22795,Winlaton,215,North West,1,100
22796,Winnambool,215,North West,1,100
22797,Winnap,217,Warrnambool and South West,1,100
22798,Winnindoo,205,Latrobe - Gippsland,1,100
22799,Winslow,217,Warrnambool and South West,1,100
22800,Winton (Vic.),204,Hume,1,100
22801,Winton North,204,Hume,1,100
22802,Wirrate,204,Hume,1,100
22803,Wiseleigh,205,Latrobe - Gippsland,1,100
22804,Wodonga,204,Hume,1,100
22805,Wollert,209,Melbourne - North East,1,100
22806,Wombat Creek (Vic.),205,Latrobe - Gippsland,1,100
22807,Wombelano,215,North West,1,100
22808,Won Wron,205,Latrobe - Gippsland,1,100
22809,Wonga,205,Latrobe - Gippsland,1,100
22810,Wonga Park,211,Melbourne - Outer East,1,100
22811,Wongarra,217,Warrnambool and South West,1,100
22812,Wongungarra,204,Hume,0.3333333,33.3333333
22812,Wongungarra,205,Latrobe - Gippsland,0.6666667,66.6666667
22813,Wonnangatta,204,Hume,1,100
22814,Wonthaggi,205,Latrobe - Gippsland,1,100
22815,Wonwondah,215,North West,1,100
22816,Wonyip,205,Latrobe - Gippsland,1,100
22817,Wood Wood,215,North West,1,100
22818,Woodend (Vic.),202,Bendigo,1,100
22819,Woodend North,202,Bendigo,1,100
22820,Woodfield,204,Hume,1,100
22821,Woodford (Vic.),217,Warrnambool and South West,1,100
22822,Woodglen,205,Latrobe - Gippsland,1,100
